"agreement","annotation_id","annotator","bio_labels","created_at","entities","hf_pred","id","index","lead_time","ner_tags","review_text","sample_quality","tokens","updated_at"
100.0,93546544,"152634","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","2026-04-15T23:40:51.564084Z","[{""end"":49,""text"":""strange processes"",""start"":32,""labels"":[""Vulnerability""]},{""end"":90,""text"":""alarm "",""start"":84,""labels"":[""Indicator""]}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",262035642,5081,15.18,"[16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16]","So the system doesn ’ t see any strange processes running and thus does not cry the alarm .","","['So' 'the' 'system' 'doesn' '’' 't' 'see' 'any' 'strange' 'processes'
 'running' 'and' 'thus' 'does' 'not' 'cry' 'the' 'alarm' '.']","2026-04-15T23:40:51.564095Z"
100.0,93546540,"152634","['O', 'B-Indicator', 'O', 'O', 'O', 'B-Malware', 'B-Malware', 'B-Malware', 'B-Malware', 'B-Malware', 'B-Malware', 'B-Malware', 'B-Malware', 'B-Malware', 'B-Malware', 'B-Malware']","2026-04-15T23:40:31.697521Z","[{""end"":41,""text"":""Trojanpws.Win64"",""start"":26,""labels"":[""Malware""]},{""end"":84,""text"":""Win32.Trojan.WisdomEyes.16070401.9500.9986"",""start"":42,""labels"":[""Malware""]},{""end"":116,""text"":""Win64.Trojan-qqpass.Qqrob.Lmug "",""start"":85,""labels"":[""Malware""]},{""end"":144,""text"":""BehavesLike.Win32.Rootkit.dh"",""start"":116,""labels"":[""Malware""]},{""end"":162,""text"":""HackTool.Mimikatz"",""start"":145,""labels"":[""Malware""]},{""end"":186,""text"":""Trojan.PSW.Mimikatz.acm"",""start"":163,""labels"":[""Malware""]},{""end"":213,""text"":""Trojan[PSW]\/Win64.Mimikatz"",""start"":187,""labels"":[""Malware""]},{""end"":243,""text"":""HackTool:Win32\/Mimikatz.A!dha"",""start"":214,""labels"":[""Malware""]},{""end"":269,""text"":""Troj.Psw.Win64.Mimikatz!c"",""start"":244,""labels"":[""Malware""]},{""end"":295,""text"":""BScope.TrojanPSW.Mimikatz"",""start"":270,""labels"":[""Malware""]},{""end"":316,""text"":""Win32\/Trojan.PSW.a2b"",""start"":296,""labels"":[""Malware""]}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",262035643,5103,45.581,"[16  3 16 16 16  1  1  1  1  1  1  1  1  1  1  1]","A backdoor also known as: Trojanpws.Win64 Win32.Trojan.WisdomEyes.16070401.9500.9986 Win64.Trojan-qqpass.Qqrob.Lmug BehavesLike.Win32.Rootkit.dh HackTool.Mimikatz Trojan.PSW.Mimikatz.acm Trojan[PSW]/Win64.Mimikatz HackTool:Win32/Mimikatz.A!dha Troj.Psw.Win64.Mimikatz!c BScope.TrojanPSW.Mimikatz Win32/Trojan.PSW.a2b","","['A' 'backdoor' 'also' 'known' 'as:' 'Trojanpws.Win64'
 'Win32.Trojan.WisdomEyes.16070401.9500.9986'
 'Win64.Trojan-qqpass.Qqrob.Lmug' 'BehavesLike.Win32.Rootkit.dh'
 'HackTool.Mimikatz' 'Trojan.PSW.Mimikatz.acm'
 'Trojan[PSW]/Win64.Mimikatz' 'HackTool:Win32/Mimikatz.A!dha'
 'Troj.Psw.Win64.Mimikatz!c' 'BScope.TrojanPSW.Mimikatz'
 'Win32/Trojan.PSW.a2b']","2026-04-15T23:40:31.697531Z"
100.0,93546525,"152634","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","2026-04-15T23:39:42.640413Z","[{""end"":7,""text"":""ALLMSG "",""start"":0,""labels"":[""Malware""]},{""end"":19,""text"":""C & C"",""start"":14,""labels"":[""System""]},{""end"":28,""text"":""SMSs"",""start"":24,""labels"":[""System""]},{""end"":84,""text"":""phone memory ."",""start"":70,""labels"":[""System""]}]","['B-Organization', 'O', 'O', 'B-Organization', 'I-Organization', 'I-Organization', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",262035644,4381,22.579,"[16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16]","ALLMSG – send C & C all SMSs received and sent by user , as stored in phone memory .","","['ALLMSG' '–' 'send' 'C' '&' 'C' 'all' 'SMSs' 'received' 'and' 'sent' 'by'
 'user' ',' 'as' 'stored' 'in' 'phone' 'memory' '.']","2026-04-15T23:39:42.640424Z"
100.0,93546511,"152634","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","2026-04-15T23:39:10.820205Z","[{""end"":50,""text"":""backend infrastructures"",""start"":27,""labels"":[""System""]},{""end"":100,""text"":""requests "",""start"":91,""labels"":[""Indicator""]}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",262035645,1559,15.864,"[16 16 16 16 16 16 16 16 16 16 16 16 16 16 16]","The actor also built solid backend infrastructures which can handle high volume concurrent requests .","","['The' 'actor' 'also' 'built' 'solid' 'backend' 'infrastructures' 'which'
 'can' 'handle' 'high' 'volume' 'concurrent' 'requests' '.']","2026-04-15T23:39:10.820216Z"
100.0,93546508,"152634","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Indicator', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","2026-04-15T23:38:51.541463Z","[{""end"":86,""text"":""Poison Ivy"",""start"":76,""labels"":[""Malware""]},{""end"":215,""text"":""Taiwan "",""start"":208,""labels"":[""Organization""]},{""end"":243,""text"":""lures "",""start"":237,""labels"":[""Indicator""]}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Malware', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Malware', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-System', 'O', 'O', 'O', 'O']",262035646,3891,19.736,"[16 16 16 16 16 16 16 16 16 16 16 16  3 11 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16]","While we do not have complete targeting , information associated with these Poison Ivy samples , several of the decoy files were in Chinese and appear to be part of a 2016 campaign targeting organizations in Taiwan with political-themed lures .","","['While' 'we' 'do' 'not' 'have' 'complete' 'targeting' ',' 'information'
 'associated' 'with' 'these' 'Poison' 'Ivy' 'samples' ',' 'several' 'of'
 'the' 'decoy' 'files' 'were' 'in' 'Chinese' 'and' 'appear' 'to' 'be'
 'part' 'of' 'a' '2016' 'campaign' 'targeting' 'organizations' 'in'
 'Taiwan' 'with' 'political-themed' 'lures' '.']","2026-04-15T23:38:51.541474Z"
100.0,93546503,"152634","['O', 'O', 'O', 'O', 'B-System', 'O', 'B-Indicator', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Organization', 'O', 'O', 'I-Indicator', 'O', 'O', 'O', 'B-Malware']","2026-04-15T23:38:27.601516Z","[{""end"":29,""text"":""Adobe Flash"",""start"":18,""labels"":[""System""]},{""end"":24,""text"":""Adobe "",""start"":18,""labels"":[""Organization""]},{""end"":38,""text"":""exploit "",""start"":30,""labels"":[""Vulnerability""]},{""end"":112,""text"":""Hacking Team"",""start"":100,""labels"":[""Organization""]},{""end"":139,""text"":""CVE-2015-5122"",""start"":126,""labels"":[""Vulnerability""]}]","['O', 'O', 'O', 'O', 'B-Malware', 'I-Malware', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Organization', 'O', 'O', 'O']",262035647,1322,54.349,"[16 16 16 16  5 13  3 16 16 16 16 16 16  7 16 16  4 12 16 16  1]","It was hosting an Adobe Flash exploit targeting one of the newly disclosed vulnerabilities from the Hacking Team data breach, CVE-2015-5122.","","['It' 'was' 'hosting' 'an' 'Adobe' 'Flash' 'exploit' 'targeting' 'one'
 'of' 'the' 'newly' 'disclosed' 'vulnerabilities' 'from' 'the' 'Hacking'
 'Team' 'data' 'breach,' 'CVE-2015-5122.']","2026-04-15T23:38:27.601528Z"
100.0,93546491,"152634","['O', 'B-Indicator', 'O', 'O', 'O', 'B-Malware', 'B-Malware', 'B-Malware', 'B-Malware', 'B-Malware', 'B-Malware']","2026-04-15T23:37:29.022188Z","[{""end"":39,""text"":""Exploit.Win64"",""start"":26,""labels"":[""Malware""]},{""end"":67,""text"":""Exploit.Win64.Apolmy.ewzxbo"",""start"":40,""labels"":[""Malware""]},{""end"":87,""text"":""Trojan.Win64.Dianti"",""start"":68,""labels"":[""Malware""]},{""end"":103,""text"":""TR\/Apolmy.paocz"",""start"":88,""labels"":[""Malware""]},{""end"":134,""text"":""Trojan:Win64\/Apolmy.A Trj\/CI.A"",""start"":104,""labels"":[""Malware""]}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",262035648,4639,43.139,"[16  3 16 16 16  1  1  1  1  1  1]","A backdoor also known as: Exploit.Win64 Exploit.Win64.Apolmy.ewzxbo Trojan.Win64.Dianti TR/Apolmy.paocz Trojan:Win64/Apolmy.A Trj/CI.A","","['A' 'backdoor' 'also' 'known' 'as:' 'Exploit.Win64'
 'Exploit.Win64.Apolmy.ewzxbo' 'Trojan.Win64.Dianti' 'TR/Apolmy.paocz'
 'Trojan:Win64/Apolmy.A' 'Trj/CI.A']","2026-04-15T23:37:29.022201Z"
100.0,93546481,"152634","['B-Indicator', 'O', 'O', 'O', 'O', 'O', 'B-System', 'O', 'O', 'O', 'I-Organization']","2026-04-15T23:36:42.465985Z","[{""end"":10,""text"":""Brain Test"",""start"":0,""labels"":[""Malware""]},{""end"":44,""text"":""Google Play"",""start"":33,""labels"":[""System""]}]","['B-Malware', 'I-Malware', 'O', 'O', 'O', 'O', 'B-Malware', 'I-Malware', 'O', 'O', 'O']",262035649,7662,24.914,"[ 3 11 16 16 16 16  5 13 16  0  8]","Brain Test has been removed from Google Play since September 24.","Clean","['Brain' 'Test' 'has' 'been' 'removed' 'from' 'Google' 'Play' 'since'
 'September' '24.']","2026-04-15T23:36:42.465996Z"
100.0,93546474,"152634","['O', 'O', 'O']","2026-04-15T23:36:14.093067Z","","['O', 'O', 'O']",262035650,4129,0.836,"[16 16 16]","Figure 5 .","","['Figure' '5' '.']","2026-04-15T23:36:14.093091Z"
100.0,93546469,"152634","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Malware', 'B-Malware', 'O', 'O', 'B-Malware', 'B-Malware', 'O', 'O', 'O', 'B-Malware', 'B-Indicator', 'O', 'B-Malware', 'B-Malware', 'O', 'O', 'O', 'B-Indicator', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","2026-04-15T23:36:10.185930Z","[{""end"":119,""text"":""com.targetshoot.zombieapocalypse.sniper.zombieshootinggame"",""start"":61,""labels"":[""Malware""]},{""end"":184,""text"":""5d98d8a7a012a858f0fa4cf8d2ed3d5a82937b1a98ea2703d440307c63c6c928"",""start"":120,""labels"":[""Malware""]},{""end"":246,""text"":""com.counterterrorist.cs.elite.combat.shootinggame"",""start"":197,""labels"":[""Malware""]},{""end"":311,""text"":""84672fb2f228ec749d3c3c1cb168a1c31f544970fd29136bea2a5b2cefac6d04"",""start"":247,""labels"":[""Malware""]},{""end"":414,""text"":""com.android.world.news bd233c1f5c477b0cc15d7f84392dab3a7a598243efa3154304327ff4580ae213"",""start"":327,""labels"":[""Malware""]},{""end"":507,""text"":""trojan com.lmt.register eb12cd65589cbc6f9d3563576c304273cb6a78072b0c20a155a0951370476d8d"",""start"":419,""labels"":[""Malware""]},{""end"":539,""text"":""Bouncing Golf"",""start"":526,""labels"":[""Organization""]},{""end"":561,""text"":"" Middle East"",""start"":549,""labels"":[""Organization""]},{""end"":611,""text"":""targeting "",""start"":601,""labels"":[""Indicator""]}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-System', 'I-System', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Malware', 'I-Malware', 'O', 'O']",262035651,408,61.222,"[16 16 16 16 16 16 16 16 16 16  1  1 16 16  1  1 16 16 16  1  3 16  1  1
 16 16 16  3 11 16 16 16 16 16 16 16 16 16 16 16 16 16 16]","Hashes of samples Type Package name SHA256 digest Custom ads com.targetshoot.zombieapocalypse.sniper.zombieshootinggame 5d98d8a7a012a858f0fa4cf8d2ed3d5a82937b1a98ea2703d440307c63c6c928 Click fraud com.counterterrorist.cs.elite.combat.shootinggame 84672fb2f228ec749d3c3c1cb168a1c31f544970fd29136bea2a5b2cefac6d04 Rooting trojan com.android.world.news bd233c1f5c477b0cc15d7f84392dab3a7a598243efa3154304327ff4580ae213 Zen trojan com.lmt.register eb12cd65589cbc6f9d3563576c304273cb6a78072b0c20a155a0951370476d8d Mobile Campaign ‘ Bouncing Golf ’ Affects Middle East We uncovered a cyberespionage campaign targeting Middle Eastern countries .","","['Hashes' 'of' 'samples' 'Type' 'Package' 'name' 'SHA256' 'digest'
 'Custom' 'ads'
 'com.targetshoot.zombieapocalypse.sniper.zombieshootinggame'
 '5d98d8a7a012a858f0fa4cf8d2ed3d5a82937b1a98ea2703d440307c63c6c928'
 'Click' 'fraud' 'com.counterterrorist.cs.elite.combat.shootinggame'
 '84672fb2f228ec749d3c3c1cb168a1c31f544970fd29136bea2a5b2cefac6d04'
 'Rooting' 'trojan' 'com.android.world.news'
 'bd233c1f5c477b0cc15d7f84392dab3a7a598243efa3154304327ff4580ae213' 'Zen'
 'trojan' 'com.lmt.register'
 'eb12cd65589cbc6f9d3563576c304273cb6a78072b0c20a155a0951370476d8d'
 'Mobile' 'Campaign' '‘' 'Bouncing' 'Golf' '’' 'Affects' 'Middle' 'East'
 'We' 'uncovered' 'a' 'cyberespionage' 'campaign' 'targeting' 'Middle'
 'Eastern' 'countries' '.']","2026-04-15T23:36:10.185944Z"
